"season_1","season_2","team_id","team_name","player_id","player_name","game_id","game_date","home_team","away_team","quarter","mins_left","secs_left","secs_left_q","event_type","shot_made","action_type","shot_type","basic_zone","zone_name","zone_abb","zone_range","loc_x","loc_y","shot_distance","is_three","shot_value","is_clutch"
2008,"2007-08","1610612754","Indiana Pacers","2399","Mike Dunleavy","20700308","2007-12-11","CLE","IND",1,5,0,65,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-9","23.75","20",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","2624","Quinton Ross","20700309","2007-12-11","NJN","LAC",1,2,42,104,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-13.8","6.95","13",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","2399","Mike Dunleavy","20700308","2007-12-11","CLE","IND",1,4,39,103,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-1.5","6.45","1",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","739","Rasheed Wallace","20700310","2007-12-11","MEM","DET",1,3,55,118,"Missed Shot",False,"Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-3.3","9.85","5",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","952","Antoine Walker","20700306","2007-12-11","WAS","MIN",1,2,51,113,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","16.6","24.45","25",1,3,0
2008,"2007-08","1610612763","Memphis Grizzlies","2545","Darko Milicic","20700310","2007-12-11","MEM","DET",1,4,10,74,"Made Shot",True,"Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-1","10.35","5",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","2740","Andris Biedrins","20700313","2007-12-11","GSW","SAS",1,4,0,64,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-1","7.05","2",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","1716","Larry Hughes","20700308","2007-12-11","CLE","IND",1,4,51,115,"Made Shot",True,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.3","5.15","0",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","201151","Acie Law","20700307","2007-12-11","ATL","TOR",1,4,46,110,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","8-16 ft.","-1.6","18.25","13",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","1739","Ruben Patterson","20700309","2007-12-11","NJN","LAC",1,2,45,107,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
